Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Price range,Aggregate rating
3,12.177650429799428,No,No,3,3.9
3,10.02865329512894,No,No,2,3.5
2,7.163323782234957,No,No,2,3.6
1,5.730659025787966,No,No,2,4.0
4,14.326647564469914,No,No,3,4.2
3,28.653295128939828,No,No,4,4.0
3,35.816618911174785,No,No,4,4.3
1,35.816618911174785,No,No,4,4.0
3,11.461318051575931,No,No,3,3.6
3,51.57593123209169,No,No,4,3.8
4,0.0,No,No,1,3.9
3,7.879656160458453,No,No,2,4.1
5,15.759312320916907,No,No,3,3.4
4,0.0,No,No,1,4.9
4,21.489971346704873,No,No,4,3.8
6,0.0,No,No,1,3.9
3,12.893982808022923,No,No,3,3.7
2,10.02865329512894,No,No,2,4.4
5,14.326647564469914,No,No,3,4.2
4,10.02865329512894,No,No,2,4.1
7,12.893982808022923,No,No,3,4.2
4,25.787965616045845,No,No,4,3.7
4,4.2979942693409745,No,Yes,1,4.5
5,11.461318051575931,No,No,3,4.1
4,12.893982808022923,No,Yes,3,4.3
2,7.163323782234957,No,Yes,2,4.4
3,14.326647564469914,No,Yes,3,4.4
6,14.326647564469914,No,Yes,3,3.8
6,20.05730659025788,No,No,3,3.6
3,5.01432664756447,No,No,2,4.6
6,6.446991404011461,No,No,2,4.4
4,12.893982808022923,No,No,3,4.3
8,8.595988538681949,No,Yes,2,3.8
3,10.02865329512894,No,Yes,2,4.3
4,10.02865329512894,No,Yes,2,4.0
2,8.595988538681949,No,Yes,2,4.4
9,13.61031518624642,No,Yes,3,4.5
3,17.191977077363898,No,No,3,4.1
6,17.191977077363898,No,No,3,4.1
6,7.879656160458453,No,Yes,2,3.9
1,17.191977077363898,No,No,3,4.0
6,7.163323782234957,No,No,3,3.4
3,5.01432664756447,No,No,2,3.3
6,7.163323782234957,No,No,3,3.2
3,8.595988538681949,No,No,3,3.4
3,8.595988538681949,No,No,3,3.4
5,8.595988538681949,No,No,3,3.4
3,7.163323782234957,No,No,3,3.4
2,5.730659025787966,No,No,2,3.3
3,11.461318051575931,No,No,3,3.2
2,10.02865329512894,No,No,3,3.4
6,5.730659025787966,No,No,2,3.4
3,7.163323782234957,No,No,3,3.2
4,0.0,No,No,1,3.3
3,7.163323782234957,No,No,3,3.4
2,14.326647564469914,No,No,4,3.6
2,2.865329512893983,No,No,1,3.7
4,7.163323782234957,No,No,3,3.5
3,7.163323782234957,No,No,3,3.6
6,5.730659025787966,No,No,2,3.5
4,11.461318051575931,No,No,3,3.3
3,10.02865329512894,No,No,2,3.4
2,4.2979942693409745,No,No,1,3.9
1,1.4326647564469914,No,No,1,4.0
3,11.461318051575931,No,No,3,3.4
2,2.1489971346704873,No,No,1,3.6
2,4.2979942693409745,No,No,1,3.5
4,7.163323782234957,No,No,2,3.4
4,17.191977077363898,No,No,3,3.4
3,5.730659025787966,No,No,2,3.5
3,10.02865329512894,No,No,2,3.6
4,2.865329512893983,No,No,1,3.9
7,8.595988538681949,No,No,2,3.4
4,7.163323782234957,No,No,2,3.7
4,7.163323782234957,No,No,2,3.5
2,7.163323782234957,No,No,2,3.8
2,5.730659025787966,No,No,2,3.8
1,1.4326647564469914,No,No,1,4.1
2,7.163323782234957,No,No,2,4.1
2,7.163323782234957,No,No,2,3.8
2,14.326647564469914,No,No,3,3.5
2,2.1489971346704873,No,No,1,4.1
5,11.461318051575931,No,No,3,3.6
5,12.177650429799428,No,No,3,3.3
3,8.595988538681949,No,No,2,3.3
1,10.02865329512894,No,No,2,3.1
4,5.01432664756447,No,No,2,3.4
7,6.446991404011461,No,No,2,3.4
6,25.787965616045845,No,No,4,3.4
6,7.163323782234957,No,No,2,3.3
2,7.163323782234957,No,No,2,3.4
5,14.326647564469914,No,No,3,3.6
2,4.2979942693409745,No,No,1,3.5
5,5.730659025787966,No,No,2,3.3
2,10.02865329512894,No,No,2,3.3
1,6.446991404011461,No,No,2,3.4
2,6.446991404011461,No,No,2,3.7
4,5.730659025787966,No,No,2,3.2
1,9.312320916905444,No,No,2,3.4
3,8.595988538681949,No,No,2,3.3
7,6.446991404011461,No,No,2,3.3
3,7.163323782234957,No,No,2,3.3
3,18.624641833810887,Yes,Yes,3,4.1
1,34.383954154727796,Yes,Yes,4,4.7
3,28.653295128939828,No,No,4,4.8
2,18.624641833810887,Yes,No,3,3.9
2,21.489971346704873,No,Yes,3,4.2
3,11.461318051575931,No,No,2,4.0
3,8.595988538681949,No,Yes,2,4.3
3,8.595988538681949,No,No,2,4.6
7,13.61031518624642,No,No,2,4.7
3,11.461318051575931,No,Yes,2,4.7
4,20.05730659025788,Yes,No,3,4.1
7,5.730659025787966,No,Yes,1,4.3
2,21.489971346704873,No,No,3,4.5
4,20.05730659025788,No,No,3,4.6
4,17.191977077363898,Yes,No,3,4.4
3,8.595988538681949,No,No,2,4.6
1,17.191977077363898,No,No,3,4.2
9,25.787965616045845,Yes,Yes,3,4.5
4,20.05730659025788,No,No,3,3.9
2,21.489971346704873,No,No,3,4.4
4,2.865329512893983,No,No,1,3.3
1,8.595988538681949,No,No,2,3.4
2,3.5816618911174785,No,No,1,4.9
3,10.02865329512894,No,No,2,3.9
2,7.163323782234957,No,No,2,4.2
3,14.326647564469914,No,No,3,4.0
1,14.326647564469914,No,No,3,4.0
1,9.312320916905444,No,No,2,4.1
3,8.595988538681949,No,No,2,3.8
1,7.163323782234957,No,No,2,3.8
7,7.879656160458453,No,No,2,3.5
4,7.163323782234957,No,No,2,3.6
4,5.01432664756447,No,No,2,3.6
2,7.163323782234957,No,No,2,4.1
7,5.730659025787966,No,No,2,4.4
7,5.730659025787966,No,No,2,4.1
2,25.787965616045845,No,No,4,4.3
2,7.163323782234957,No,No,2,3.9
3,12.893982808022923,No,No,3,3.8
2,7.163323782234957,No,No,2,4.3
1,7.163323782234957,No,No,2,3.9
1,7.879656160458453,No,No,2,4.1
6,17.191977077363898,No,No,3,4.6
4,8.595988538681949,No,No,2,4.5
5,7.163323782234957,No,No,2,3.9
1,7.163323782234957,No,No,2,4.0
4,12.177650429799428,No,No,2,3.7
4,20.05730659025788,No,No,3,4.1
3,6.446991404011461,No,No,1,3.6
5,8.595988538681949,No,No,2,3.8
4,6.446991404011461,No,No,1,3.7
4,7.163323782234957,No,No,2,3.7
5,6.446991404011461,No,No,1,3.8
4,12.893982808022923,No,No,2,4.0
1,5.730659025787966,No,No,1,4.0
4,11.461318051575931,No,No,2,4.3
3,4.2979942693409745,No,No,1,4.1
2,7.163323782234957,No,No,2,3.8
3,12.893982808022923,No,No,2,4.2
1,21.489971346704873,No,No,3,4.3
2,5.730659025787966,No,No,1,3.5
5,12.177650429799428,No,Yes,2,3.7
2,22.922636103151863,No,No,3,4.2
3,20.05730659025788,No,Yes,3,4.3
6,22.922636103151863,No,No,3,4.1
5,20.05730659025788,No,No,3,4.0
4,17.191977077363898,No,No,3,4.0
3,18.624641833810887,No,No,3,4.5
2,25.787965616045845,No,No,3,4.3
2,10.02865329512894,No,No,2,3.8
6,14.326647564469914,No,Yes,3,3.4
3,9.312320916905444,No,No,2,4.1
2,9.312320916905444,No,No,2,4.1
5,6.446991404011461,No,Yes,1,4.0
3,8.595988538681949,No,Yes,2,4.2
3,11.461318051575931,No,No,2,3.3
1,31.518624641833814,No,No,4,4.4
3,7.163323782234957,No,Yes,2,4.5
2,8.595988538681949,No,No,2,4.0
3,11.461318051575931,Yes,Yes,2,4.2
4,11.461318051575931,Yes,Yes,2,3.8
4,10.744985673352437,Yes,Yes,2,4.4
6,12.177650429799428,Yes,Yes,2,4.2
4,24.355300859598856,Yes,Yes,3,4.8
2,6.446991404011461,No,Yes,1,4.2
1,5.01432664756447,No,No,1,4.6
2,15.759312320916907,No,No,3,4.1
6,21.489971346704873,Yes,Yes,3,4.0
2,17.191977077363898,Yes,Yes,3,4.6
3,14.326647564469914,Yes,No,3,4.2
3,12.893982808022923,No,Yes,2,3.8
3,17.191977077363898,Yes,Yes,3,4.3
6,12.177650429799428,Yes,Yes,2,4.4
6,12.177650429799428,Yes,Yes,2,4.3
7,21.489971346704873,Yes,Yes,3,4.5
3,28.653295128939828,No,No,4,4.4
4,22.922636103151863,No,No,3,4.9
5,20.05730659025788,No,No,3,4.6
3,12.893982808022923,Yes,No,2,4.0
4,11.461318051575931,No,Yes,3,4.6
5,8.595988538681949,No,No,2,3.9
1,5.730659025787966,No,Yes,2,3.8
1,8.595988538681949,No,Yes,2,3.5
2,7.163323782234957,No,No,2,4.3
1,17.191977077363898,No,Yes,3,4.1
5,6.446991404011461,No,No,2,3.8
3,5.01432664756447,No,No,2,4.5
6,17.191977077363898,No,No,3,3.8
3,10.02865329512894,No,Yes,2,3.9
3,17.191977077363898,No,No,3,4.2
3,8.595988538681949,No,Yes,2,4.0
5,14.326647564469914,No,No,3,4.0
4,21.489971346704873,No,No,4,4.0
5,5.730659025787966,No,No,2,4.3
3,20.05730659025788,No,No,3,4.2
2,5.01432664756447,No,Yes,2,4.9
5,10.02865329512894,No,No,2,4.2
3,4.2979942693409745,No,No,1,4.3
4,20.05730659025788,No,No,3,4.4
3,11.461318051575931,No,No,3,3.6
5,7.163323782234957,No,No,3,3.8
10,9.312320916905444,No,No,3,3.9
4,14.326647564469914,No,No,4,3.9
3,10.744985673352437,No,No,3,4.2
2,21.489971346704873,No,No,4,4.9
5,0.0,No,No,1,4.3
3,17.908309455587393,No,No,4,4.0
3,7.879656160458453,No,No,3,3.8
1,7.163323782234957,No,No,3,4.0
1,5.01432664756447,No,No,2,4.1
2,10.02865329512894,No,No,3,3.9
2,8.595988538681949,No,No,3,3.9
3,8.595988538681949,No,No,3,3.9
1,5.730659025787966,No,No,2,3.9
5,22.922636103151863,No,No,4,4.4
3,17.191977077363898,No,No,4,4.0
4,7.163323782234957,No,No,3,4.1
2,7.163323782234957,No,No,3,4.2
1,8.595988538681949,No,No,3,4.2
4,3.5816618911174785,No,No,1,2.9
3,7.163323782234957,No,No,2,2.8
2,2.1489971346704873,No,No,1,2.8
2,2.1489971346704873,No,No,1,2.9
1,1.4326647564469914,No,No,1,2.8
5,4.2979942693409745,No,No,1,3.0
4,4.2979942693409745,No,No,1,2.9
6,5.01432664756447,No,No,1,3.0
3,4.2979942693409745,No,No,1,2.9
3,8.595988538681949,No,Yes,2,2.8
3,7.163323782234957,No,No,2,3.4
6,10.02865329512894,No,No,2,3.4
2,15.759312320916907,No,Yes,3,3.8
4,8.595988538681949,No,Yes,2,3.6
2,12.893982808022923,No,Yes,2,3.6
4,7.163323782234957,No,Yes,2,2.1
2,22.922636103151863,No,No,3,4.0
1,18.624641833810887,No,Yes,3,4.1
3,5.730659025787966,No,No,1,3.2
2,2.865329512893983,No,Yes,1,2.7
5,11.461318051575931,No,Yes,2,3.4
3,14.326647564469914,Yes,No,3,2.4
3,3.5816618911174785,No,No,1,2.8
1,14.326647564469914,No,No,3,3.0
1,7.163323782234957,No,No,2,3.2
4,7.163323782234957,No,No,2,2.8
3,6.446991404011461,No,No,1,2.8
4,7.163323782234957,No,No,2,3.1
1,2.1489971346704873,No,No,1,3.0
2,6.446991404011461,No,Yes,1,3.1
3,10.02865329512894,Yes,No,2,2.9
4,11.461318051575931,Yes,Yes,2,3.3
1,4.2979942693409745,No,No,1,3.0
3,6.446991404011461,No,No,1,2.6
3,10.02865329512894,No,Yes,2,2.9
1,2.865329512893983,No,No,1,2.9
4,21.489971346704873,Yes,Yes,3,3.1
3,8.595988538681949,No,Yes,2,3.2
8,5.730659025787966,No,No,1,3.4
1,6.446991404011461,No,No,1,3.3
1,8.595988538681949,No,No,2,2.7
5,7.163323782234957,No,Yes,2,3.4
1,2.865329512893983,No,No,1,3.3
9,8.595988538681949,No,Yes,2,2.6
3,7.163323782234957,No,No,2,3.3
1,7.163323782234957,No,No,2,3.4
3,5.730659025787966,No,No,1,2.7
6,13.61031518624642,No,No,2,2.6
5,8.595988538681949,No,No,2,2.7
4,4.2979942693409745,No,No,1,3.4
1,14.326647564469914,No,No,3,4.5
3,5.730659025787966,No,Yes,1,3.6
3,4.2979942693409745,No,Yes,1,3.5
5,12.893982808022923,Yes,No,2,3.8
1,5.730659025787966,No,No,1,3.5
2,5.730659025787966,No,No,1,3.6
7,9.312320916905444,No,No,2,3.7
3,5.730659025787966,No,No,1,3.6
6,5.01432664756447,No,No,1,3.5
2,3.5816618911174785,No,No,1,3.6
2,2.1489971346704873,No,No,1,3.5
1,5.730659025787966,No,No,1,3.6
4,10.744985673352437,No,Yes,2,3.8
3,5.730659025787966,No,No,1,3.5
3,5.730659025787966,No,No,1,3.6
3,2.1489971346704873,No,No,1,3.8
6,7.163323782234957,No,No,2,3.5
4,9.312320916905444,No,Yes,2,4.1
2,5.730659025787966,No,No,1,2.9
2,4.2979942693409745,No,Yes,1,2.9
3,5.730659025787966,No,No,1,2.5
2,5.730659025787966,No,No,1,3.1
4,7.163323782234957,No,No,2,3.0
2,3.5816618911174785,No,No,1,3.4
4,11.461318051575931,Yes,No,2,3.3
2,4.2979942693409745,No,No,1,3.1
2,5.730659025787966,No,No,1,3.1
3,5.730659025787966,No,No,1,2.8
4,10.02865329512894,No,No,2,2.7
3,8.595988538681949,No,Yes,2,2.7
4,7.163323782234957,No,No,2,2.7
1,4.2979942693409745,No,No,1,2.8
2,5.730659025787966,No,No,1,2.7
1,1.4326647564469914,No,No,1,3.2
1,7.163323782234957,No,No,2,3.4
3,10.02865329512894,No,Yes,2,3.3
3,2.865329512893983,No,No,1,3.0
3,10.02865329512894,No,Yes,2,3.3
3,2.865329512893983,No,No,1,2.8
2,1.4326647564469914,No,No,1,3.1
5,5.01432664756447,No,No,1,2.8
3,2.865329512893983,No,No,1,3.0
3,9.312320916905444,No,Yes,2,2.6
3,2.865329512893983,No,No,1,2.9
2,1.4326647564469914,No,No,1,3.1
6,10.02865329512894,No,Yes,2,3.1
6,5.01432664756447,No,No,1,3.1
1,5.01432664756447,No,No,1,2.9
8,5.730659025787966,No,Yes,1,2.7
5,11.461318051575931,No,No,2,2.7
4,7.163323782234957,No,No,2,3.0
4,7.163323782234957,Yes,No,2,3.3
2,2.1489971346704873,No,No,1,3.1
2,1.4326647564469914,No,No,1,3.1
3,8.595988538681949,No,No,2,2.8
3,14.326647564469914,Yes,No,3,2.7
4,5.730659025787966,No,No,1,3.1
3,4.2979942693409745,No,No,1,2.9
2,7.163323782234957,No,No,2,2.7
3,5.01432664756447,No,No,1,3.6
4,7.163323782234957,No,No,2,3.0
3,10.02865329512894,No,No,2,2.9
6,5.01432664756447,No,No,1,3.1
3,7.163323782234957,No,No,2,2.9
3,7.879656160458453,No,No,2,2.9
3,10.02865329512894,No,No,2,3.2
3,10.02865329512894,No,Yes,2,2.5
1,2.865329512893983,No,No,1,3.5
7,7.163323782234957,No,Yes,2,2.7
